Symbol,TradeDate,Open,Close,AvgPrice,High,Low,TradedVolume,Source,LoadTime
MSFT,2020-02-03,170.42999267578125,174.3800048828125,172.4,174.5,170.39999389648438,30149100,Barclays,2025-10-22 20:28:18
MSFT,2020-02-04,177.13999938964844,180.1199951171875,178.63,180.63999938964844,176.30999755859375,36433300,Barclays,2025-10-22 20:28:18
MSFT,2020-02-05,184.02999877929688,179.89999389648438,181.96,184.1999969482422,178.41000366210938,39186300,Barclays,2025-10-22 20:28:18
MSFT,2020-02-06,180.97000122070312,183.6300048828125,182.3,183.82000732421875,180.05999755859375,27751400,Barclays,2025-10-22 20:28:18
MSFT,2020-02-07,182.8500061035156,183.88999938964844,183.37,185.6300048828125,182.47999572753903,33529100,Barclays,2025-10-22 20:28:18
MSFT,2020-02-10,183.5800018310547,188.6999969482422,186.14,188.83999633789065,183.25,35844300,Barclays,2025-10-22 20:28:18
MSFT,2020-02-11,190.6499938964844,184.44000244140625,187.54,190.6999969482422,183.5,53159900,Barclays,2025-10-22 20:28:18
MSFT,2020-02-12,185.5800018310547,184.7100067138672,185.15,185.8500061035156,181.8500061035156,47062900,Barclays,2025-10-22 20:28:18
MSFT,2020-02-13,183.0800018310547,183.7100067138672,183.4,186.22999572753903,182.8699951171875,35295800,Barclays,2025-10-22 20:28:18
MSFT,2020-02-14,183.25,185.3500061035156,184.3,185.41000366210935,182.6499938964844,23149500,Barclays,2025-10-22 20:28:18
MSFT,2020-02-18,185.6100006103516,187.22999572753903,186.42,187.6999969482422,185.5,27792200,Barclays,2025-10-22 20:28:18
MSFT,2020-02-19,188.05999755859372,187.27999877929688,187.67,188.17999267578125,186.47000122070312,29997500,Barclays,2025-10-22 20:28:18
MSFT,2020-02-20,186.9499969482422,184.4199981689453,185.68,187.25,181.1000061035156,36862400,Barclays,2025-10-22 20:28:18
MSFT,2020-02-21,183.1699981689453,178.58999633789062,180.88,183.5,177.25,48572600,Barclays,2025-10-22 20:28:18
MSFT,2020-02-24,167.77000427246094,170.88999938964844,169.33,174.5500030517578,163.22999572753906,68311100,Barclays,2025-10-22 20:28:18
MSFT,2020-02-25,174.1999969482422,168.07000732421875,171.14,174.83999633789062,167.64999389648438,68073300,Barclays,2025-10-22 20:28:18
MSFT,2020-02-26,169.7100067138672,170.1699981689453,169.94,173.25999450683594,168.2100067138672,56206100,Barclays,2025-10-22 20:28:18
MSFT,2020-02-27,163.32000732421875,158.17999267578125,160.75,167.02999877929688,157.97999572753906,93174900,Barclays,2025-10-22 20:28:18
MSFT,2020-02-28,152.41000366210938,162.00999450683594,157.21,163.7100067138672,152.0,97073600,Barclays,2025-10-22 20:28:18
TSLA,2020-02-03,673.6900024414062,780.0,726.85,786.1400146484375,673.52001953125,47233500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-04,882.9600219726562,887.0599975585938,885.01,968.989990234375,833.8800048828125,60938800,Barclays,2025-10-22 20:28:18
TSLA,2020-02-05,823.260009765625,734.7000122070312,778.98,845.97998046875,704.1099853515625,48423800,Barclays,2025-10-22 20:28:18
TSLA,2020-02-06,699.9199829101562,748.9600219726562,724.44,795.8300170898438,687.0,39880800,Barclays,2025-10-22 20:28:18
TSLA,2020-02-07,730.5499877929688,748.0700073242188,739.31,769.75,730.0,17063500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-10,800.0,771.280029296875,785.64,819.989990234375,752.4000244140625,24689200,Barclays,2025-10-22 20:28:18
TSLA,2020-02-11,768.7899780273438,774.3800048828125,771.58,783.510009765625,758.0,11697500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-12,777.8699951171875,767.2899780273438,772.58,789.75,763.3699951171875,12022500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-13,741.8400268554688,804.0,772.92,818.0,735.0,26289300,Barclays,2025-10-22 20:28:18
TSLA,2020-02-14,787.219970703125,800.030029296875,793.62,812.969970703125,785.5,15693700,Barclays,2025-10-22 20:28:18
TSLA,2020-02-18,841.5999755859375,858.4000244140625,850.0,860.0,832.3599853515625,16381700,Barclays,2025-10-22 20:28:18
TSLA,2020-02-19,923.5,917.4199829101562,920.46,944.780029296875,901.02001953125,25423000,Barclays,2025-10-22 20:28:18
TSLA,2020-02-20,911.9500122070312,899.4099731445312,905.68,912.0,859.9400024414062,17634900,Barclays,2025-10-22 20:28:18
TSLA,2020-02-21,906.97998046875,901.0,903.99,913.0599975585938,880.4500122070312,14314800,Barclays,2025-10-22 20:28:18
TSLA,2020-02-24,839.0,833.7899780273438,836.39,863.5,822.2000122070312,15192200,Barclays,2025-10-22 20:28:18
TSLA,2020-02-25,849.0,799.9099731445312,824.45,856.5999755859375,787.0,17290500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-26,782.5,778.7999877929688,780.65,813.3099975585938,776.1099853515625,14085500,Barclays,2025-10-22 20:28:18
TSLA,2020-02-27,730.0,679.0,704.5,739.77001953125,669.0,24277200,Barclays,2025-10-22 20:28:18
TSLA,2020-02-28,629.7000122070312,667.989990234375,648.85,690.52001953125,611.52001953125,24564200,Barclays,2025-10-22 20:28:18
